Time [s], HR, PULSE, RESP, SpO2
0,94.0,93.0,25.0,97.0
1,94.0,93.0,25.0,97.0
2,94.0,93.0,25.0,97.0
3,92.0,93.0,26.0,97.0
4,93.0,93.0,26.0,97.0
5,93.0,93.0,26.0,97.0
6,94.0,94.0,26.0,97.0
7,94.0,94.0,26.0,97.0
8,94.0,94.0,26.0,97.0
9,94.0,94.0,26.0,97.0
10,94.0,94.0,26.0,97.0
11,94.0,94.0,26.0,97.0
12,94.0,94.0,26.0,97.0
13,94.0,94.0,26.0,97.0
14,94.0,94.0,26.0,97.0
15,95.0,94.0,26.0,97.0
16,94.0,94.0,26.0,97.0
17,94.0,94.0,24.0,97.0
18,94.0,94.0,24.0,97.0
19,94.0,94.0,25.0,97.0
20,94.0,94.0,25.0,97.0
21,94.0,94.0,25.0,97.0
22,94.0,94.0,25.0,97.0
23,94.0,94.0,25.0,97.0
24,94.0,94.0,25.0,97.0
25,94.0,94.0,25.0,97.0
26,94.0,94.0,24.0,98.0
27,94.0,94.0,24.0,98.0
28,94.0,94.0,24.0,98.0
29,94.0,94.0,24.0,98.0
30,94.0,94.0,24.0,98.0
31,94.0,94.0,24.0,98.0
32,94.0,94.0,24.0,98.0
33,93.0,94.0,24.0,98.0
34,93.0,94.0,24.0,98.0
35,93.0,94.0,24.0,97.0
36,93.0,94.0,24.0,97.0
37,93.0,94.0,24.0,97.0
38,92.0,94.0,24.0,97.0
39,92.0,94.0,24.0,97.0
40,92.0,94.0,24.0,97.0
41,92.0,93.0,23.0,97.0
42,92.0,93.0,23.0,97.0
43,92.0,93.0,23.0,97.0
44,92.0,92.0,23.0,97.0
45,95.0,92.0,23.0,97.0
46,95.0,92.0,23.0,97.0
47,92.0,92.0,22.0,97.0
48,92.0,92.0,22.0,97.0
49,92.0,92.0,22.0,97.0
50,92.0,92.0,22.0,97.0
51,92.0,92.0,22.0,97.0
52,92.0,92.0,22.0,97.0
53,91.0,92.0,22.0,97.0
54,89.0,92.0,22.0,97.0
55,91.0,92.0,22.0,97.0
56,91.0,92.0,22.0,97.0
57,91.0,92.0,21.0,97.0
58,91.0,92.0,21.0,97.0
59,91.0,92.0,21.0,97.0
60,90.0,92.0,21.0,97.0
61,90.0,91.0,21.0,97.0
62,90.0,91.0,21.0,97.0
63,90.0,91.0,21.0,97.0
64,90.0,91.0,21.0,97.0
65,90.0,91.0,21.0,97.0
66,90.0,90.0,21.0,97.0
67,91.0,90.0,21.0,97.0
68,90.0,90.0,20.0,97.0
69,90.0,89.0,20.0,97.0
70,91.0,89.0,20.0,97.0
71,91.0,89.0,20.0,97.0
72,91.0,89.0,20.0,97.0
73,91.0,89.0,20.0,97.0
74,91.0,89.0,21.0,97.0
75,91.0,89.0,21.0,97.0
76,91.0,90.0,21.0,97.0
77,91.0,90.0,21.0,97.0
78,91.0,90.0,21.0,97.0
79,91.0,90.0,21.0,97.0
80,91.0,90.0,21.0,97.0
81,91.0,90.0,21.0,97.0
82,91.0,91.0,21.0,97.0
83,91.0,91.0,21.0,97.0
84,91.0,91.0,21.0,97.0
85,91.0,91.0,21.0,97.0
86,91.0,91.0,21.0,97.0
87,91.0,91.0,22.0,97.0
88,91.0,91.0,22.0,97.0
89,91.0,91.0,22.0,97.0
90,91.0,91.0,22.0,97.0
91,92.0,91.0,22.0,97.0
92,92.0,91.0,22.0,97.0
93,92.0,91.0,22.0,97.0
94,92.0,91.0,22.0,97.0
95,92.0,91.0,23.0,97.0
96,93.0,91.0,23.0,97.0
97,93.0,91.0,23.0,97.0
98,93.0,91.0,23.0,97.0
99,93.0,91.0,23.0,97.0
100,93.0,91.0,23.0,97.0
101,93.0,91.0,23.0,97.0
102,93.0,91.0,23.0,97.0
103,93.0,91.0,23.0,97.0
104,90.0,91.0,23.0,97.0
105,92.0,91.0,23.0,97.0
106,92.0,91.0,23.0,97.0
107,92.0,91.0,23.0,97.0
108,92.0,91.0,23.0,97.0
109,92.0,91.0,23.0,97.0
110,92.0,90.0,23.0,97.0
111,92.0,,23.0,
112,92.0,,23.0,
113,92.0,,23.0,
114,92.0,,22.0,
115,92.0,,22.0,
116,92.0,,22.0,
117,92.0,,22.0,
118,92.0,,22.0,
119,92.0,,22.0,
120,92.0,,22.0,
121,92.0,,22.0,
122,92.0,,22.0,
123,92.0,,22.0,
124,92.0,92.0,22.0,98.0
125,92.0,92.0,21.0,98.0
126,92.0,91.0,21.0,98.0
127,91.0,91.0,21.0,97.0
128,91.0,91.0,21.0,97.0
129,91.0,91.0,21.0,97.0
130,91.0,92.0,21.0,97.0
131,91.0,92.0,21.0,97.0
132,91.0,91.0,21.0,97.0
133,91.0,91.0,21.0,97.0
134,91.0,91.0,21.0,97.0
135,91.0,91.0,21.0,97.0
136,91.0,91.0,21.0,97.0
137,91.0,91.0,21.0,97.0
138,91.0,91.0,21.0,97.0
139,91.0,90.0,21.0,97.0
140,91.0,90.0,21.0,97.0
141,91.0,90.0,20.0,97.0
142,91.0,90.0,20.0,97.0
143,91.0,91.0,20.0,97.0
144,91.0,91.0,20.0,97.0
145,91.0,91.0,20.0,97.0
146,91.0,91.0,20.0,97.0
147,91.0,91.0,20.0,97.0
148,91.0,91.0,21.0,97.0
149,91.0,90.0,21.0,97.0
150,91.0,90.0,21.0,97.0
151,91.0,90.0,21.0,97.0
152,92.0,90.0,21.0,97.0
153,92.0,90.0,21.0,97.0
154,92.0,90.0,21.0,97.0
155,92.0,91.0,21.0,97.0
156,92.0,91.0,22.0,97.0
157,92.0,91.0,22.0,97.0
158,92.0,91.0,22.0,97.0
159,92.0,91.0,22.0,97.0
160,92.0,91.0,22.0,97.0
161,92.0,92.0,22.0,97.0
162,92.0,92.0,22.0,97.0
163,92.0,92.0,22.0,97.0
164,92.0,92.0,22.0,97.0
165,91.0,92.0,22.0,97.0
166,91.0,92.0,22.0,97.0
167,91.0,92.0,22.0,97.0
168,91.0,92.0,21.0,97.0
169,91.0,92.0,21.0,97.0
170,91.0,91.0,21.0,97.0
171,91.0,91.0,21.0,97.0
172,91.0,91.0,21.0,97.0
173,91.0,91.0,21.0,97.0
174,91.0,91.0,21.0,97.0
175,91.0,91.0,21.0,97.0
176,91.0,91.0,21.0,97.0
177,91.0,91.0,21.0,97.0
178,91.0,91.0,21.0,97.0
179,91.0,91.0,21.0,97.0
180,91.0,91.0,21.0,97.0
181,91.0,91.0,21.0,97.0
182,91.0,91.0,21.0,97.0
183,91.0,91.0,21.0,97.0
184,91.0,91.0,21.0,97.0
185,91.0,91.0,21.0,97.0
186,91.0,91.0,21.0,97.0
187,91.0,91.0,21.0,97.0
188,91.0,91.0,21.0,97.0
189,91.0,91.0,21.0,97.0
190,91.0,91.0,21.0,97.0
191,91.0,91.0,21.0,97.0
192,91.0,91.0,21.0,97.0
193,91.0,91.0,21.0,97.0
194,91.0,91.0,21.0,97.0
195,91.0,91.0,21.0,97.0
196,91.0,91.0,21.0,97.0
197,91.0,91.0,21.0,97.0
198,91.0,91.0,21.0,97.0
199,93.0,91.0,21.0,97.0
200,92.0,91.0,21.0,97.0
201,92.0,91.0,21.0,97.0
202,92.0,91.0,21.0,97.0
203,92.0,91.0,21.0,97.0
204,92.0,91.0,21.0,97.0
205,91.0,91.0,21.0,97.0
206,91.0,91.0,21.0,97.0
207,89.0,91.0,22.0,97.0
208,90.0,91.0,22.0,97.0
209,90.0,91.0,22.0,97.0
210,90.0,90.0,22.0,97.0
211,90.0,90.0,22.0,97.0
212,90.0,90.0,22.0,97.0
213,91.0,90.0,21.0,97.0
214,91.0,90.0,21.0,97.0
215,91.0,90.0,21.0,97.0
216,91.0,90.0,21.0,97.0
217,91.0,90.0,21.0,97.0
218,91.0,90.0,21.0,97.0
219,91.0,90.0,21.0,97.0
220,91.0,90.0,21.0,97.0
221,91.0,90.0,21.0,97.0
222,91.0,90.0,21.0,97.0
223,91.0,90.0,21.0,97.0
224,91.0,90.0,21.0,97.0
225,91.0,90.0,21.0,97.0
226,91.0,91.0,21.0,97.0
227,91.0,91.0,21.0,97.0
228,91.0,91.0,21.0,97.0
229,91.0,91.0,21.0,97.0
230,91.0,91.0,21.0,97.0
231,91.0,91.0,21.0,97.0
232,91.0,91.0,21.0,97.0
233,91.0,91.0,21.0,97.0
234,91.0,91.0,21.0,97.0
235,91.0,91.0,21.0,97.0
236,91.0,91.0,21.0,97.0
237,91.0,91.0,21.0,97.0
238,91.0,91.0,21.0,97.0
239,91.0,90.0,21.0,97.0
240,91.0,90.0,21.0,97.0
241,91.0,90.0,21.0,97.0
242,91.0,90.0,21.0,97.0
243,91.0,90.0,21.0,97.0
244,91.0,90.0,21.0,97.0
245,91.0,91.0,21.0,97.0
246,91.0,91.0,21.0,97.0
247,91.0,91.0,21.0,97.0
248,91.0,91.0,21.0,97.0
249,91.0,91.0,21.0,97.0
250,91.0,91.0,21.0,97.0
251,91.0,91.0,21.0,97.0
252,91.0,91.0,21.0,97.0
253,91.0,91.0,21.0,97.0
254,91.0,91.0,21.0,97.0
255,91.0,91.0,21.0,97.0
256,91.0,91.0,21.0,97.0
257,91.0,91.0,21.0,97.0
258,91.0,91.0,21.0,97.0
259,91.0,91.0,21.0,97.0
260,91.0,91.0,21.0,97.0
261,91.0,91.0,21.0,97.0
262,91.0,91.0,21.0,97.0
263,91.0,91.0,21.0,97.0
264,91.0,91.0,21.0,97.0
265,91.0,91.0,21.0,97.0
266,91.0,91.0,20.0,97.0
267,91.0,91.0,20.0,97.0
268,91.0,91.0,20.0,97.0
269,91.0,91.0,20.0,97.0
270,91.0,91.0,20.0,97.0
271,91.0,91.0,20.0,97.0
272,91.0,91.0,20.0,97.0
273,91.0,91.0,20.0,97.0
274,91.0,91.0,20.0,97.0
275,91.0,91.0,20.0,97.0
276,91.0,91.0,20.0,97.0
277,91.0,91.0,20.0,97.0
278,91.0,91.0,20.0,97.0
279,91.0,91.0,20.0,97.0
280,91.0,91.0,20.0,96.0
281,91.0,91.0,20.0,96.0
282,91.0,91.0,20.0,96.0
283,91.0,91.0,20.0,96.0
284,91.0,91.0,20.0,96.0
285,91.0,91.0,20.0,96.0
286,91.0,91.0,21.0,96.0
287,91.0,91.0,21.0,96.0
288,91.0,91.0,21.0,96.0
289,91.0,91.0,21.0,96.0
290,91.0,91.0,21.0,96.0
291,91.0,91.0,21.0,96.0
292,91.0,91.0,21.0,97.0
293,91.0,91.0,21.0,97.0
294,91.0,91.0,21.0,97.0
295,91.0,91.0,21.0,97.0
296,91.0,91.0,21.0,97.0
297,91.0,91.0,21.0,97.0
298,91.0,91.0,21.0,97.0
299,91.0,91.0,21.0,96.0
300,91.0,91.0,21.0,96.0
301,91.0,91.0,21.0,96.0
302,91.0,91.0,21.0,96.0
303,91.0,91.0,21.0,96.0
304,91.0,91.0,21.0,96.0
305,91.0,91.0,21.0,97.0
306,92.0,91.0,21.0,97.0
307,92.0,91.0,21.0,97.0
308,91.0,91.0,21.0,97.0
309,91.0,91.0,21.0,97.0
310,91.0,91.0,21.0,97.0
311,91.0,91.0,21.0,97.0
312,91.0,91.0,21.0,97.0
313,91.0,91.0,21.0,97.0
314,91.0,91.0,21.0,97.0
315,90.0,91.0,21.0,97.0
316,91.0,91.0,21.0,97.0
317,91.0,91.0,21.0,97.0
318,91.0,91.0,21.0,97.0
319,91.0,91.0,21.0,97.0
320,91.0,91.0,21.0,97.0
321,91.0,90.0,21.0,97.0
322,91.0,91.0,21.0,97.0
323,92.0,91.0,21.0,97.0
324,92.0,91.0,21.0,96.0
325,92.0,91.0,21.0,96.0
326,92.0,91.0,20.0,96.0
327,92.0,91.0,20.0,96.0
328,92.0,91.0,20.0,96.0
329,92.0,91.0,20.0,96.0
330,91.0,91.0,20.0,96.0
331,92.0,91.0,20.0,96.0
332,91.0,91.0,20.0,96.0
333,91.0,92.0,20.0,96.0
334,91.0,92.0,20.0,97.0
335,91.0,92.0,20.0,97.0
336,91.0,92.0,20.0,97.0
337,91.0,92.0,21.0,97.0
338,91.0,91.0,21.0,97.0
339,91.0,91.0,21.0,97.0
340,92.0,91.0,21.0,97.0
341,92.0,91.0,21.0,97.0
342,92.0,91.0,21.0,97.0
343,92.0,91.0,21.0,97.0
344,91.0,91.0,21.0,97.0
345,91.0,91.0,21.0,97.0
346,91.0,91.0,21.0,97.0
347,91.0,91.0,21.0,97.0
348,91.0,91.0,21.0,97.0
349,91.0,91.0,21.0,97.0
350,91.0,91.0,21.0,97.0
351,91.0,91.0,21.0,97.0
352,91.0,91.0,21.0,97.0
353,91.0,90.0,21.0,97.0
354,91.0,90.0,20.0,97.0
355,91.0,91.0,20.0,97.0
356,91.0,91.0,20.0,96.0
357,91.0,91.0,20.0,96.0
358,92.0,91.0,20.0,96.0
359,92.0,91.0,20.0,96.0
360,92.0,91.0,20.0,96.0
361,92.0,91.0,20.0,96.0
362,92.0,91.0,20.0,96.0
363,92.0,91.0,20.0,96.0
364,92.0,91.0,20.0,96.0
365,91.0,91.0,20.0,96.0
366,91.0,91.0,20.0,96.0
367,91.0,91.0,20.0,96.0
368,91.0,92.0,20.0,96.0
369,91.0,92.0,20.0,97.0
370,91.0,91.0,20.0,97.0
371,91.0,91.0,20.0,97.0
372,91.0,91.0,20.0,97.0
373,91.0,91.0,20.0,97.0
374,91.0,91.0,20.0,97.0
375,91.0,91.0,20.0,97.0
376,91.0,91.0,21.0,97.0
377,91.0,91.0,21.0,97.0
378,91.0,91.0,21.0,97.0
379,91.0,91.0,21.0,97.0
380,91.0,91.0,21.0,97.0
381,91.0,91.0,21.0,97.0
382,91.0,91.0,21.0,97.0
383,91.0,91.0,21.0,97.0
384,91.0,91.0,21.0,97.0
385,91.0,91.0,21.0,97.0
386,91.0,91.0,21.0,97.0
387,91.0,91.0,21.0,97.0
388,91.0,91.0,21.0,97.0
389,91.0,91.0,21.0,97.0
390,90.0,91.0,21.0,97.0
391,90.0,91.0,21.0,97.0
392,90.0,91.0,21.0,97.0
393,90.0,91.0,21.0,97.0
394,90.0,91.0,21.0,97.0
395,90.0,91.0,21.0,97.0
396,90.0,91.0,21.0,97.0
397,89.0,90.0,21.0,97.0
398,90.0,90.0,21.0,97.0
399,90.0,90.0,21.0,97.0
400,89.0,89.0,21.0,97.0
401,90.0,89.0,21.0,97.0
402,90.0,89.0,21.0,97.0
403,90.0,89.0,21.0,97.0
404,90.0,89.0,21.0,97.0
405,90.0,89.0,21.0,97.0
406,90.0,89.0,21.0,97.0
407,90.0,89.0,21.0,97.0
408,90.0,89.0,21.0,97.0
409,90.0,89.0,21.0,97.0
410,91.0,89.0,21.0,97.0
411,90.0,89.0,21.0,97.0
412,91.0,89.0,21.0,97.0
413,91.0,89.0,21.0,97.0
414,91.0,89.0,21.0,97.0
415,91.0,90.0,21.0,97.0
416,92.0,90.0,21.0,97.0
417,92.0,90.0,21.0,97.0
418,92.0,90.0,21.0,97.0
419,92.0,90.0,21.0,97.0
420,92.0,90.0,21.0,97.0
421,92.0,90.0,21.0,97.0
422,92.0,90.0,21.0,97.0
423,92.0,90.0,21.0,97.0
424,88.0,90.0,21.0,97.0
425,91.0,90.0,21.0,97.0
426,91.0,90.0,22.0,96.0
427,91.0,90.0,22.0,96.0
428,91.0,90.0,22.0,96.0
429,91.0,90.0,22.0,96.0
430,91.0,90.0,22.0,97.0
431,91.0,90.0,22.0,97.0
432,91.0,90.0,22.0,97.0
433,91.0,90.0,22.0,97.0
434,91.0,90.0,22.0,97.0
435,91.0,90.0,22.0,97.0
436,90.0,91.0,22.0,97.0
437,90.0,91.0,22.0,97.0
438,90.0,91.0,22.0,97.0
439,90.0,91.0,22.0,97.0
440,90.0,91.0,22.0,97.0
441,90.0,90.0,22.0,97.0
442,90.0,90.0,22.0,97.0
443,90.0,90.0,22.0,97.0
444,90.0,90.0,22.0,97.0
445,90.0,90.0,22.0,97.0
446,90.0,89.0,22.0,97.0
447,90.0,89.0,21.0,97.0
448,90.0,89.0,21.0,97.0
449,91.0,89.0,21.0,97.0
450,91.0,89.0,21.0,97.0
451,91.0,89.0,21.0,97.0
452,91.0,89.0,21.0,97.0
453,91.0,89.0,21.0,97.0
454,91.0,90.0,21.0,97.0
455,91.0,90.0,21.0,97.0
456,91.0,90.0,21.0,97.0
457,91.0,90.0,21.0,97.0
458,91.0,90.0,21.0,97.0
459,91.0,90.0,21.0,97.0
460,91.0,91.0,21.0,97.0
461,91.0,91.0,21.0,97.0
462,91.0,91.0,21.0,97.0
463,91.0,91.0,21.0,97.0
464,91.0,91.0,21.0,97.0
465,91.0,90.0,21.0,97.0
466,91.0,90.0,21.0,97.0
467,91.0,90.0,21.0,97.0
